id,method,title,year,venue,tasks,scope,paradigm,paper_url,code_url,code_status,training_regime,access_note,year_basis
Chen2018CVPR,GCBD,Image Blind Denoising with Generative Adversarial Network Based Noise Modeling,2018,CVPR,denoising,core,Domain Translation,https://openaccess.thecvf.com/content_cvpr_2018/html/Chen_Image_Blind_Denoising_CVPR_2018_paper.html,,not_verified,unpaired restoration; consult access note and paper for auxiliary supervision,Noise patches and independent clean images; generated pairs train the denoiser.,final publication/issue year
kingma2018glow,Glow,Glow: Generative flow with invertible 1x1 convolutions,2018,NeurIPS,density modeling,foundation,Normalizing flow,https://arxiv.org/abs/1807.03039,,not_verified,general methodological antecedent; not a degradation-specific unpaired-restoration result,Included to explain mechanisms; excluded from core-restoration annual counts.,final publication/issue year
Huang2018ECCV,MUNIT,Multimodal Unsupervised Image-to-Image Translation,2018,ECCV,general image translation,foundation,Representation Learning,https://arxiv.org/abs/1804.04732,,not_verified,general methodological antecedent; not a degradation-specific unpaired-restoration result,Included to explain mechanisms; excluded from core-restoration annual counts.,final publication/issue year
Lehtinen2018ICML,Noise2Noise,Noise2Noise: Learning Image Restoration without Clean Data,2018,ICML,denoising,adjacent,Self-supervision,https://arxiv.org/abs/1803.04189,,not_verified,corresponding noisy/noisy observations,Adjacent information budget; does not use two independent degraded/clean marginal datasets.,final publication/issue year
Lu2019CVPR,Disentangled deblurring,Unsupervised Domain-Specific Deblurring via Disentangled Representations,2019,CVPR,deblurring,core,Representation Learning,https://openaccess.thecvf.com/content_CVPR_2019/papers/Lu_Unsupervised_Domain-Specific_Deblurring_via_Disentangled_Representations_CVPR_2019_paper.pdf,https://github.com/ustclby/Unsupervised-Domain-Specific-Deblurring,official_public_repository,unpaired restoration; consult access note and paper for auxiliary supervision,Representative method; exact training pools and auxiliary pretraining require configuration-level disclosure.,final publication/issue year
Krull2019CVPR,Noise2Void,Noise2Void: Learning Denoising from Single Noisy Images,2019,CVPR,denoising,adjacent,Self-supervision,https://arxiv.org/abs/1811.10980,,not_verified,single noisy-image / blind-spot learning,Adjacent information budget; does not use two independent degraded/clean marginal datasets.,final publication/issue year
Zhu2019AAAI,RR-GAN,Single Image Rain Removal with Unpaired Information: A Differentiable Programming Perspective,2019,AAAI,deraining,core,Domain Translation,https://ojs.aaai.org/index.php/AAAI/article/view/4971,,not_verified,unpaired restoration; consult access note and paper for auxiliary supervision,Representative method; exact training pools and auxiliary pretraining require configuration-level disclosure.,final publication/issue year
Jin2019ICIP,UD-GAN,Unsupervised Single Image Deraining with Self-Supervised Constraints,2019,ICIP,deraining,core,Domain Translation,https://orca.cardiff.ac.uk/id/eprint/161670/,,not_verified,unpaired restoration; consult access note and paper for auxiliary supervision,Representative method; exact training pools and auxiliary pretraining require configuration-level disclosure.,final publication/issue year
Park2020ECCV,CUT,Contrastive Learning for Unpaired Image-to-Image Translation,2020,ECCV,general image translation,foundation,Representation Learning,https://research.adobe.com/publication/contrastive-learning-for-unpairedimage-to-image-translation/,,not_verified,general methodological antecedent; not a degradation-specific unpaired-restoration result,Included to explain mechanisms; excluded from core-restoration annual counts.,final publication/issue year
Ho2020NeurIPS,DDPM,Denoising Diffusion Probabilistic Models,2020,NeurIPS,generative modeling,foundation,Generative transport,https://arxiv.org/abs/2006.11239,,not_verified,general methodological antecedent; not a degradation-specific unpaired-restoration result,Included to explain mechanisms; excluded from core-restoration annual counts.,final publication/issue year
Liu2020TIP,E-CycleGAN,End-to-End Single Image Fog Removal Using Enhanced Cycle Consistent Adversarial Networks,2020,IEEE TIP,dehazing,core,Domain Translation,https://arxiv.org/abs/1902.01374,,not_verified,unpaired restoration; consult access note and paper for auxiliary supervision,Representative method; exact training pools and auxiliary pretraining require configuration-level disclosure.,final publication/issue year
Maeda2020CVPR,Pseudo-supervised SR,Unpaired Image Super-Resolution Using Pseudo-Supervision,2020,CVPR,super-resolution,core,Domain Translation,https://openaccess.thecvf.com/content_CVPR_2020/html/Maeda_Unpaired_Image_Super-Resolution_Using_Pseudo-Supervision_CVPR_2020_paper.html,,not_verified,unpaired restoration; consult access note and paper for auxiliary supervision,Independent LR/HR collections; internally generated aligned supervision.,final publication/issue year
Ni2020TIP,UEGAN,Towards Unsupervised Deep Image Enhancement with Generative Adversarial Network,2020,IEEE TIP,photographic enhancement,adjacent,Domain Translation,https://arxiv.org/abs/2012.15020,https://github.com/eezkni/UEGAN,paper_linked_repository,unpaired photographic enhancement,"General aesthetic enhancement, outside the six degradation-specific tasks.",final publication/issue year
Hong2020AAAI,UIDNet,End-to-End Unpaired Image Denoising with Conditional Adversarial Networks,2020,AAAI,denoising,core,Domain Translation,https://ojs.aaai.org/index.php/AAAI/article/view/5834,,not_verified,unpaired restoration; consult access note and paper for auxiliary supervision,Clean/noisy domains and generated pairs; not noisy-only learning.,final publication/issue year
Wu2020ECCV,Unpaired denoising (DBSN),Unpaired Learning of Deep Image Denoising,2020,ECCV,denoising,core,Representation Learning,https://www.ecva.net/papers/eccv_2020/papers_ECCV/papers/123490341.pdf,https://github.com/XHWXD/DBSN,paper_linked_repository,unpaired restoration; consult access note and paper for auxiliary supervision,Blind-spot/noise-model stage followed by independent-clean-image synthesis and distillation.,final publication/issue year
Jang2021ICCV,C2N,C2N: Practical Generative Noise Modeling for Real-World Denoising,2021,ICCV,denoising,core,Domain Translation,https://openaccess.thecvf.com/content/ICCV2021/papers/Jang_C2N_Practical_Generative_Noise_Modeling_for_Real-World_Denoising_ICCV_2021_paper.pdf,,not_verified,unpaired restoration; consult access note and paper for auxiliary supervision,DND protocol includes target noisy-image adaptation; retain this information budget.,final publication/issue year
Henz2021TVCG,Camera-noise synthesis GAN,Synthesizing Camera Noise Using Generative Adversarial Networks,2021,IEEE Transactions on Visualization and Computer Graphics,denoising,core,Domain Translation,https://bernardohenz.github.io/projects/synthesizing_noise/,https://github.com/bernardohenz/synt_noise_GANs,official_public_repository,unpaired restoration; consult access note and paper for auxiliary supervision,Unpaired camera-noise synthesis followed by DnCNN; camera-specific RENOIR evaluation.,final publication/issue year
Radford2021ICML,CLIP,Learning Transferable Visual Models From Natural Language Supervision,2021,ICML,vision-language representation,foundation,Representation Learning,https://arxiv.org/abs/2103.00020,,not_verified,general methodological antecedent; not a degradation-specific unpaired-restoration result,Included to explain mechanisms; excluded from core-restoration annual counts.,final publication/issue year
Wei2021CVPRDDAT,DASR (domain-distance aware),Unsupervised Real-World Image Super Resolution via Domain-Distance Aware Training,2021,CVPR,super-resolution,core,Domain Translation,https://openaccess.thecvf.com/content/CVPR2021/html/Wei_Unsupervised_Real-World_Image_Super_Resolution_via_Domain-Distance_Aware_Training_CVPR_2021_paper.html,https://github.com/ShuhangGu/DASR,paper_linked_repository,unpaired restoration; consult access note and paper for auxiliary supervision,Representative method; exact training pools and auxiliary pretraining require configuration-level disclosure.,final publication/issue year
Wolf2021CVPR,DeFlow,DeFlow: Learning Complex Image Degradations from Unpaired Data with Conditional Flows,2021,CVPR,super-resolution,core,Normalizing flow,https://openaccess.thecvf.com/content/CVPR2021/html/Wolf_DeFlow_Learning_Complex_Image_Degradations_From_Unpaired_Data_With_Conditional_CVPR_2021_paper.html,,not_verified,unpaired restoration; consult access note and paper for auxiliary supervision,Representative method; exact training pools and auxiliary pretraining require configuration-level disclosure.,final publication/issue year
Wei2021TIP,DerainCycleGAN,DerainCycleGAN: Rain Attentive CycleGAN for Single Image Deraining and Rainmaking,2021,IEEE TIP,deraining,core,Domain Translation,https://github.com/OaDsis/DerainCycleGAN,https://github.com/OaDsis/DerainCycleGAN,official_public_repository,unpaired restoration; consult access note and paper for auxiliary supervision,Final journal year 2021; the 2019 preprint is not a second paper.,final publication/issue year
Jiang2021TIP,EnlightenGAN,EnlightenGAN: Deep Light Enhancement without Paired Supervision,2021,IEEE TIP,low-light,core,Domain Translation,https://github.com/VITA-Group/EnlightenGAN,https://github.com/VITA-Group/EnlightenGAN,official_public_repository,unpaired restoration; consult access note and paper for auxiliary supervision,Final journal year 2021; the 2019 preprint is not a second paper.,final publication/issue year
Song2021ICLR,Score SDE,Score-Based Generative Modeling through Stochastic Differential Equations,2021,ICLR,generative modeling,foundation,Generative transport,https://arxiv.org/abs/2011.13456,,not_verified,general methodological antecedent; not a degradation-specific unpaired-restoration result,Included to explain mechanisms; excluded from core-restoration annual counts.,final publication/issue year
Yu2021ACMMM,UDGNet,Unsupervised Image Deraining: Optimization Model Driven Deep CNN,2021,ACM Multimedia,deraining,adjacent,Prior-guided,https://huayuuu.github.io/files/2021ACMMM_UDGNet.pdf,,not_verified,rainy-only / single-image prior,No clean-domain collection required; an adjacent data-access regime.,final publication/issue year
Son2022TPAMI,ADL,Toward Real-World Super-Resolution via Adaptive Downsampling Models,2022,IEEE TPAMI,super-resolution,core,Domain Translation,https://arxiv.org/abs/2109.03444,https://github.com/JaehaKim97/Adaptive-Downsampling-Model,paper_linked_repository,unpaired restoration; consult access note and paper for auxiliary supervision,Representative method; exact training pools and auxiliary pretraining require configuration-level disclosure.,final publication/issue year
Chen2022ECCV,CDD-GAN,Unpaired Deep Image Dehazing Using Contrastive Disentanglement Learning,2022,ECCV,dehazing,core,Representation Learning,https://arxiv.org/abs/2203.07677,,not_verified,unpaired restoration; consult access note and paper for auxiliary supervision,Representative method; exact training pools and auxiliary pretraining require configuration-level disclosure.,final publication/issue year
Yang2022CVPR,D4,Self-Augmented Unpaired Image Dehazing via Density and Depth Decomposition,2022,CVPR,dehazing,core,Prior-guided,https://openaccess.thecvf.com/content/CVPR2022/html/Yang_Self-Augmented_Unpaired_Image_Dehazing_via_Density_and_Depth_Decomposition_CVPR_2022_paper.html,https://github.com/YaN9-Y/D4,official_public_repository,unpaired restoration; consult access note and paper for auxiliary supervision,Representative method; exact training pools and auxiliary pretraining require configuration-level disclosure.,final publication/issue year
Chen2022CVPR,DCD-GAN,Unpaired Deep Image Deraining Using Dual Contrastive Learning,2022,CVPR,deraining,core,Representation Learning,https://openaccess.thecvf.com/content/CVPR2022/papers/Chen_Unpaired_Deep_Image_Deraining_Using_Dual_Contrastive_Learning_CVPR_2022_paper.pdf,https://github.com/cschenxiang/DCD-GAN,official_public_repository,unpaired restoration; consult access note and paper for auxiliary supervision,Representative method; exact training pools and auxiliary pretraining require configuration-level disclosure.,final publication/issue year
Yasarla2022ICPR,DGP-CycleGAN,Unsupervised Restoration of Weather-Affected Images Using Deep Gaussian Process-Based CycleGAN,2022,ICPR,deraining;dehazing;desnowing,core,Domain Translation,https://arxiv.org/abs/2204.10970,,not_verified,unpaired restoration; consult access note and paper for auxiliary supervision,Representative method; exact training pools and auxiliary pretraining require configuration-level disclosure.,final publication/issue year
Zhao2022NeurIPS,EGSDE,EGSDE: Unpaired Image-to-Image Translation via Energy-Guided Stochastic Differential Equations,2022,NeurIPS,general image translation,foundation,Generative transport,https://arxiv.org/abs/2207.06635,,not_verified,general methodological antecedent; not a degradation-specific unpaired-restoration result,Included to explain mechanisms; excluded from core-restoration annual counts.,final publication/issue year
Zhao2022FCLGAN,FCL-GAN,FCL-GAN: A Lightweight and Real-Time Baseline for Unsupervised Blind Image Deblurring,2022,ACM Multimedia,deblurring,core,Representation Learning,https://opus.lib.uts.edu.au/handle/10453/169860,https://github.com/suiyizhao/FCL-GAN,official_public_repository,unpaired restoration; consult access note and paper for auxiliary supervision,Representative method; exact training pools and auxiliary pretraining require configuration-level disclosure.,final publication/issue year
Ye2022CVPR,NLCL,Unsupervised Deraining: Where Contrastive Learning Meets Self-Similarity,2022,CVPR,deraining,core,Representation Learning,https://doi.org/10.1109/CVPR52688.2022.00573,https://github.com/yunguo224/NLCL,official_public_repository,unpaired restoration; consult access note and paper for auxiliary supervision,Representative method; exact training pools and auxiliary pretraining require configuration-level disclosure.,final publication/issue year
Ning2022IJCAI,USR-DU,Learning Degradation Uncertainty for Unsupervised Real-World Image Super-Resolution,2022,IJCAI,super-resolution,core,Representation Learning,https://www.ijcai.org/proceedings/2022/176,,not_verified,unpaired restoration; consult access note and paper for auxiliary supervision,Representative method; exact training pools and auxiliary pretraining require configuration-level disclosure.,final publication/issue year
liang2023iterative,CLIP-LIT,Iterative Prompt Learning for Unsupervised Backlit Image Enhancement,2023,ICCV,low-light,core,Representation Learning,https://openaccess.thecvf.com/content/ICCV2023/papers/Liang_Iterative_Prompt_Learning_for_Unsupervised_Backlit_Image_Enhancement_ICCV_2023_paper.pdf,https://github.com/ZhexinLiang/CLIP-LIT,official_public_repository,unpaired restoration; consult access note and paper for auxiliary supervision,Backlit enhancement with pretrained CLIP; not a GAN architecture. Alias Liang2023ICCV is deduplicated.,final publication/issue year
lipman2023flow,Flow matching,Flow Matching for Generative Modeling,2023,ICLR,generative modeling,foundation,Generative transport,https://arxiv.org/abs/2210.02747,,not_verified,general methodological antecedent; not a degradation-specific unpaired-restoration result,Included to explain mechanisms; excluded from core-restoration annual counts.,final publication/issue year
Zheng2023TPAMI,LUD-VAE,Learn From Unpaired Data for Image Restoration: A Variational Bayes Approach,2023,IEEE TPAMI,denoising;super-resolution;low-light,core,Representation Learning,https://arxiv.org/abs/2204.10090,https://github.com/zhengdihan/LUD-VAE,official_public_repository,unpaired restoration; consult access note and paper for auxiliary supervision,Final issue 2023; first online/preprint 2022. Synthesis plus a downstream restorer.,final publication/issue year
Zhang2023TPAMINeurMAP,NeurMAP,Neural Maximum a Posteriori Estimation on Unpaired Data for Motion Deblurring,2023,IEEE TPAMI,deblurring,core,Prior-guided,https://doi.org/10.1109/TPAMI.2023.3303450,https://github.com/yjzhang96/NeurMAP-deblur,official_public_repository,unpaired restoration; consult access note and paper for auxiliary supervision,Public unsupervised and semi-supervised paths; initialization and motion-estimator training must be identified.,final publication/issue year
Wang2023TPAMIOTUR,OTUR,Optimal Transport for Unsupervised Denoising Learning,2023,IEEE TPAMI,denoising,core,Domain Translation,https://arxiv.org/abs/2108.02574,https://github.com/wangweiSJTU/OTUR,paper_linked_repository,unpaired restoration; consult access note and paper for auxiliary supervision,Representative method; exact training pools and auxiliary pretraining require configuration-level disclosure.,final publication/issue year
liu2023reflow,Rectified flow,Flow Straight and Fast: Learning to Generate and Transfer Data with Rectified Flow,2023,ICLR,generative modeling,foundation,Generative transport,https://arxiv.org/abs/2209.03003,,not_verified,general methodological antecedent; not a degradation-specific unpaired-restoration result,Included to explain mechanisms; excluded from core-restoration annual counts.,final publication/issue year
Lin2023ICCV,SCPGabNet,Unsupervised Image Denoising in Real-World Scenarios via Self-Collaboration Parallel Generative Adversarial Branches,2023,ICCV,denoising,core,Domain Translation,https://openaccess.thecvf.com/content/ICCV2023/html/Lin_Unsupervised_Image_Denoising_in_Real-World_Scenarios_via_Self-Collaboration_Parallel_Generative_ICCV_2023_paper.html,https://github.com/linxin0/SCPGabNet,official_public_repository,unpaired restoration; consult access note and paper for auxiliary supervision,Representative method; exact training pools and auxiliary pretraining require configuration-level disclosure.,final publication/issue year
Li2022TMM,USID-Net,USID-Net: Unsupervised Single Image Dehazing Network via Disentangled Representations,2023,IEEE TMM,dehazing,core,Representation Learning,https://github.com/dehazing/USID-Net,https://github.com/dehazing/USID-Net,paper_linked_repository,unpaired restoration; consult access note and paper for auxiliary supervision,Representative method; exact training pools and auxiliary pretraining require configuration-level disclosure.,final publication/issue year
Wu2024TMM,Cycle-Retinex,Cycle-Retinex: Unpaired Low-Light Image Enhancement via Retinex-Inline CycleGAN,2024,IEEE TMM,low-light,core,Prior-guided,https://github.com/mummmml/Cycle-Retinex,https://github.com/mummmml/Cycle-Retinex,paper_linked_repository,unpaired restoration; consult access note and paper for auxiliary supervision,Representative method; exact training pools and auxiliary pretraining require configuration-level disclosure.,final publication/issue year
Parmar2024OneStep,CycleGAN-Turbo / img2img-Turbo,One-Step Image Translation with Text-to-Image Models,2024,arXiv preprint,general image translation,foundation,Generative transport,https://arxiv.org/abs/2403.12036,https://github.com/GaParmar/img2img-turbo,official_public_repository,general methodological antecedent; not a degradation-specific unpaired-restoration result,Included to explain mechanisms; excluded from core-restoration annual counts.,first author preprint year; final venue unverified
Yang2024IJCV,D4+,Robust Unpaired Image Dehazing via Density and Depth Decomposition,2024,IJCV,dehazing,core,Prior-guided,https://doi.org/10.1007/s11263-023-01940-5,https://github.com/YaN9-Y/D4_plus,paper_linked_repository,unpaired restoration; consult access note and paper for auxiliary supervision,Representative method; exact training pools and auxiliary pretraining require configuration-level disclosure.,final publication/issue year
Wang2024CVPRDictSR,DictSR,Learning Coupled Dictionaries from Unpaired Data for Image Super-Resolution,2024,CVPR,super-resolution,core,Representation Learning,https://openaccess.thecvf.com/content/CVPR2024/html/Wang_Learning_Coupled_Dictionaries_from_Unpaired_Data_for_Image_Super-Resolution_CVPR_2024_paper.html,,not_verified,unpaired restoration; consult access note and paper for auxiliary supervision,Representative method; exact training pools and auxiliary pretraining require configuration-level disclosure.,final publication/issue year
Jiang2024ECCV,LightenDiffusion,LightenDiffusion: Unsupervised Low-Light Image Enhancement with Latent-Retinex Diffusion Models,2024,ECCV,low-light,core,Generative transport,https://www.ecva.net/papers/eccv_2024/papers_ECCV/html/6440_ECCV_2024_paper.php,https://github.com/JianghaiSCU/LightenDiffusion,official_public_repository,unpaired restoration; consult access note and paper for auxiliary supervision,Representative method; exact training pools and auxiliary pretraining require configuration-level disclosure.,final publication/issue year
Wen2024IS,NSB,Neural Schrödinger Bridge for Unpaired Real-World Image Deraining,2024,Information Sciences,deraining,core,Generative transport,https://www.sciencedirect.com/science/article/pii/S0020025524011137,,not_verified,unpaired restoration; consult access note and paper for auxiliary supervision,Pretrained CLIP guidance is part of the information budget.,final publication/issue year
Wang2024CVPR,ODCR,ODCR: Orthogonal Decoupling Contrastive Regularization for Unpaired Image Dehazing,2024,CVPR,dehazing,core,Representation Learning,https://openaccess.thecvf.com/content/CVPR2024/html/Wang_ODCR_Orthogonal_Decoupling_Contrastive_Regularization_for_Unpaired_Image_Dehazing_CVPR_2024_paper.html,,not_verified,unpaired restoration; consult access note and paper for auxiliary supervision,Representative method; exact training pools and auxiliary pretraining require configuration-level disclosure.,final publication/issue year
Tang2024ICML,RCOT,Residual-Conditioned Optimal Transport: Towards Structure-Preserving Unpaired and Paired Image Restoration,2024,ICML,denoising;super-resolution;deraining;dehazing,core,Domain Translation,https://proceedings.mlr.press/v235/tang24d.html,,not_verified,unpaired restoration; consult access note and paper for auxiliary supervision,"The paper studies paired and unpaired variants; count the paper once, not each regime.",final publication/issue year
Sun2024TPAMI,SDFlow,Learning Many-to-Many Mapping for Unpaired Real-World Image Super-Resolution and Downscaling,2024,IEEE TPAMI,super-resolution;downscaling,core,Normalizing flow,https://doi.org/10.1109/TPAMI.2024.3428546,https://github.com/sunwj/sdflow,paper_linked_repository,unpaired restoration; consult access note and paper for auxiliary supervision,Representative method; exact training pools and auxiliary pretraining require configuration-level disclosure.,final publication/issue year
Chen2024CVPRDeblur,SEMGUD,Unsupervised Blind Image Deblurring Based on Self-Enhancement,2024,CVPR,deblurring,core,Prior-guided,https://openaccess.thecvf.com/content/CVPR2024/html/Chen_Unsupervised_Blind_Image_Deblurring_Based_on_Self-Enhancement_CVPR_2024_paper.html,,not_verified,unpaired restoration; consult access note and paper for auxiliary supervision,Representative method; exact training pools and auxiliary pretraining require configuration-level disclosure.,final publication/issue year
Wang2024TIP,UCL-Dehaze,UCL-Dehaze: Toward Real-World Image Dehazing via Unsupervised Contrastive Learning,2024,IEEE TIP,dehazing,core,Representation Learning,https://github.com/yz-wang/UCL-Dehaze,https://github.com/yz-wang/UCL-Dehaze,official_public_repository,unpaired restoration; consult access note and paper for auxiliary supervision,Final TIP publication 2024; 2022 preprint deduplicated.,final publication/issue year
Kim2024ICLR,UNSB,Unpaired Image-to-Image Translation via Neural Schrodinger Bridge,2024,ICLR,general image translation,foundation,Generative transport,https://proceedings.iclr.cc/paper_files/paper/2024/hash/5491280797f3192b895bce84eb83df8d-Abstract-Conference.html,,not_verified,general methodological antecedent; not a degradation-specific unpaired-restoration result,Included to explain mechanisms; excluded from core-restoration annual counts.,final publication/issue year
Wen2024ACMMM,UPID-EDM,Unpaired Photo-Realistic Image Deraining with Energy-Informed Diffusion Model,2024,ACM Multimedia,deraining,core,Generative transport,https://chdwyb.github.io/,,not_verified,unpaired restoration; consult access note and paper for auxiliary supervision,Energy-informed diffusion classification uses verified title-level evidence; no exact loss inventory asserted.,final publication/issue year
Dong2025CVPR,CSUD,Channel Consistency Prior and Self-Reconstruction Strategy Based Unsupervised Image Deraining,2025,CVPR,deraining,core,Prior-guided,https://doi.org/10.1109/CVPR52734.2025.00700,https://github.com/GuangluDong0728/CSUD-Unsupervised-Deraining-CVPR2025,official_public_repository,unpaired restoration; consult access note and paper for auxiliary supervision,Representative method; exact training pools and auxiliary pretraining require configuration-level disclosure.,final publication/issue year
Tang2025TPAMI,DA-RCOT,Restoring Images Under Any Degradation: A Degradation-Aware Residual-Conditioned Optimal Transport Approach,2025,IEEE TPAMI,denoising;deblurring;deraining;dehazing;low-light,core,Domain Translation,https://doi.org/10.1109/TPAMI.2025.3562211,,not_verified,unpaired restoration; consult access note and paper for auxiliary supervision,Paired and unpaired restoration variants; distinguish data access for each reported experiment.,final publication/issue year
Meanti2025ICCV,DDM,Unsupervised Imaging Inverse Problems with Diffusion Distribution Matching,2025,ICCV,deblurring;super-resolution;operator calibration,core,Generative transport,https://openaccess.thecvf.com/content/ICCV2025/html/Meanti_Unsupervised_Imaging_Inverse_Problems_with_Diffusion_Distribution_Matching_ICCV_2025_paper.html,,not_verified,unpaired restoration; consult access note and paper for auxiliary supervision,Conditional flow matching with inverse-problem operator inference; calibration assumptions remain part of the setting.,final publication/issue year
Zheng2025NeurIPS,DDSB,Degradation-Aware Dynamic Schrodinger Bridge for Unpaired Image Restoration,2025,NeurIPS,deraining;low-light;deblurring,core,Generative transport,https://papers.neurips.cc/paper_files/paper/2025/hash/039c30e9af8039fbd1b58da9d04f38e9-Abstract-Conference.html,,not_verified,unpaired restoration; consult access note and paper for auxiliary supervision,Representative method; exact training pools and auxiliary pretraining require configuration-level disclosure.,final publication/issue year
Lan2025ICCV,DehazeSB,When Schrodinger Bridge Meets Real-World Image Dehazing with Unpaired Training,2025,ICCV,dehazing,core,Generative transport,https://github.com/ywxjm/DehazeSB,https://github.com/ywxjm/DehazeSB,official_public_repository,unpaired restoration; consult access note and paper for auxiliary supervision,Pretrained semantic guidance; final ICCV year 2025.,final publication/issue year
Lan2025AAAI,Diff-Dehazer,Exploiting Diffusion Prior for Real-World Image Dehazing with Unpaired Training,2025,AAAI,dehazing,core,Generative transport,https://doi.org/10.1609/aaai.v39i4.32469,,not_verified,unpaired restoration; consult access note and paper for auxiliary supervision,Representative method; exact training pools and auxiliary pretraining require configuration-level disclosure.,final publication/issue year
Liu2025ICCV,FrDiff,Frequency Domain-Based Diffusion Model for Unpaired Image Dehazing,2025,ICCV,dehazing,core,Generative transport,https://openaccess.thecvf.com/content/ICCV2025/html/Liu_Frequency_Domain-Based_Diffusion_Model_for_Unpaired_Image_Dehazing_ICCV_2025_paper.html,,not_verified,unpaired restoration; consult access note and paper for auxiliary supervision,Representative method; exact training pools and auxiliary pretraining require configuration-level disclosure.,final publication/issue year
Zhou2025arXivRFDM,RFDM,Unsupervised Real-World Super-Resolution via Rectified Flow Degradation Modelling,2025,arXiv preprint,super-resolution,core,Generative transport,https://arxiv.org/abs/2508.07214,,not_verified,unpaired restoration; consult access note and paper for auxiliary supervision,Author preprint only; no peer-reviewed final venue verified.,first author preprint year; final venue unverified
Lin2025TPAMI,RSCP2GAN,Re-Boosting Self-Collaboration Parallel Prompt GAN for Unsupervised Image Restoration,2025,IEEE TPAMI,denoising;deraining;desnowing,core,Domain Translation,https://researchportal.hkust.edu.hk/en/publications/re-boosting-self-collaboration-parallel-prompt-gan-for-unsupervis/,https://github.com/linxin0/RSCP2GAN,official_public_repository,unpaired restoration; consult access note and paper for auxiliary supervision,Final TPAMI issue 2025; older preprint counted once.,final publication/issue year
Hu2025ICCV,TP-Diff,Learning Deblurring Texture Prior from Unpaired Data with Diffusion Model,2025,ICCV,deblurring,core,Generative transport,https://openaccess.thecvf.com/content/ICCV2025/html/Liu_Learning_Deblurring_Texture_Prior_from_Unpaired_Data_with_Diffusion_Model_ICCV_2025_paper.html,,not_verified,unpaired restoration; consult access note and paper for auxiliary supervision,Representative method; exact training pools and auxiliary pretraining require configuration-level disclosure.,final publication/issue year
