id,citation_key,method,title,year,venue,tasks,scope,count_group,paradigm,paper_url,code_url,code_status,training_regime,access_note,year_basis,count_basis,checked_on
Chen2018CVPR,Chen2018CVPR,GCBD,Image Blind Denoising with Generative Adversarial Network Based Noise Modeling,2018,CVPR,denoising,six_task,Six-task restoration,domain_translation,https://openaccess.thecvf.com/content_cvpr_2018/html/Chen_Image_Blind_Denoising_CVPR_2018_paper.html,,not_verified,unpaired restoration; consult access note and paper for auxiliary supervision,Noise patches and independent clean images; generated pairs train the denoiser.,final publication/issue year; first public preprint year if no final publication verified,"one canonical included paper; three disjoint scope groups; bounded corpus, not field-wide totals",2026-09-21
v6_sr_uw_01,Yuan2018CinCGAN,CinCGAN,Unsupervised Image Super-Resolution Using Cycle-in-Cycle Generative Adversarial Networks,2018,2018 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW),super-resolution,broader_restoration,Underwater / SR / sand-dust,domain_translation,https://openaccess.thecvf.com/content_cvpr_2018_workshops/w13/html/Yuan_Unsupervised_Image_Super-Resolution_CVPR_2018_paper.html,,not_verified,independent-domain restoration branch; see access_note for auxiliary information,CVF abstract explicitly states no paired low/high-resolution data; noisy/blurry LR is mapped to clean LR and then HR. Pretrained upsampling component is disclosed. Bibliographic author/DOI fields checked against exact-title publisher metadata.,final publication/issue year; first public preprint year if no final publication verified,"one canonical included paper; three disjoint scope groups; bounded corpus, not field-wide totals",2026-09-21
v6_sr_uw_02,Bulat2018HighLow,High-to-Low / Low-to-High GAN,"To learn image super-resolution, use a GAN to learn how to do image degradation first",2018,Lecture Notes in Computer Science,super-resolution;face restoration,broader_restoration,Underwater / SR / sand-dust,domain_translation,https://openaccess.thecvf.com/content_ECCV_2018/html/Adrian_Bulat_To_learn_image_ECCV_2018_paper.html,,not_verified,independent-domain restoration branch; see access_note for auxiliary information,CVF abstract explicitly requires only unpaired HR and LR images for degradation learning; generated pairs subsequently train restoration. Bibliographic author/DOI fields checked against exact-title publisher metadata.,final publication/issue year; first public preprint year if no final publication verified,"one canonical included paper; three disjoint scope groups; bounded corpus, not field-wide totals",2026-09-21
Fabbri2018UGAN,Fabbri2018UGAN,UGAN,Enhancing Underwater Imagery Using Generative Adversarial Networks,2018,IEEE International Conference on Robotics and Automation,underwater enhancement,broader_restoration,Underwater / SR / sand-dust,domain_translation,https://cameronfabbri.github.io/papers/icra2018_ugan.pdf,https://github.com/cameronfabbri/Underwater-Color-Correction,primary_source_linked_repository,unpaired CycleGAN degradation synthesis followed by synthetic-pair restoration,"Author paper uses CycleGAN to translate good-quality underwater images into degraded images, constructing synthetic aligned pairs for UGAN. Counted as unpaired degradation-learning pipeline, not direct pair-free restoration.",final publication/issue year; first public preprint year if no final publication verified,"one canonical included paper; three disjoint scope groups; bounded corpus, not field-wide totals",2026-09-21
Li2018WaterTransfer,Li2018WaterTransfer,Underwater color transfer,Emerging From Water: Underwater Image Color Correction Based on Weakly Supervised Color Transfer,2018,IEEE Signal Processing Letters,underwater enhancement,broader_restoration,Underwater / SR / sand-dust,domain_translation,https://arxiv.org/abs/1710.07084,,not_verified,unpaired underwater/in-air domains (paper calls this weak supervision),"Author abstract explicitly defines weak supervision as relaxing paired underwater training; adversarial, cycle and SSIM losses preserve content. Final issue2018, first preprint2017.",final publication/issue year; first public preprint year if no final publication verified,"one canonical included paper; three disjoint scope groups; bounded corpus, not field-wide totals",2026-09-21
v6_sr_uw_03,Li2018WaterGAN,WaterGAN,WaterGAN: Unsupervised Generative Network to Enable Real-time Color Correction of Monocular Underwater Images,2018,IEEE Robotics and Automation Letters,underwater enhancement,broader_restoration,Underwater / SR / sand-dust,prior_guided,https://arxiv.org/abs/1702.07392,,not_verified,independent-domain restoration branch; see access_note for auxiliary information,Author arXiv record describes unsupervised underwater generation from in-air RGB/depth and real underwater distributions; synthetic paired data then trains restoration. Auxiliary RGB-depth pairs are required.,final publication/issue year; first public preprint year if no final publication verified,"one canonical included paper; three disjoint scope groups; bounded corpus, not field-wide totals",2026-09-21
Anoosheh2019ToDayGAN,Anoosheh2019ToDayGAN,ToDayGAN,Night-to-Day Image Translation for Retrieval-based Localization,2019,Proc. IEEE Int. Conf. Robot. Autom.,night-to-day translation,translation,General / weather translation,not_assigned,https://www.microsoft.com/en-us/research/?p=608856,https://github.com/AAnoosheh/ToDayGAN,primary_source_linked_repository,unpaired two-domain training,"ICRA 2019 final publication; arXiv 1809.09767 is the same paper, counted once. No ground-truth night/day pairings.",final publication/issue year; first public preprint year if no final publication verified,"one canonical included paper; three disjoint scope groups; bounded corpus, not field-wide totals",2026-09-21
Dudhane2019CDNet,Dudhane2019CDNet,CDNet,CDNet: Single Image De-Hazing Using Unpaired Adversarial Training,2019,Proc. IEEE Winter Conf. Appl. Comput. Vis.,dehazing,six_task,Six-task restoration,not_assigned,https://doi.org/10.1109/WACV.2019.00127,,not_verified,unpaired adversarial cycle training for transmission estimation; author publication record and paper,unpaired adversarial cycle training for transmission estimation; author publication record and paper,final publication/issue year; first public preprint year if no final publication verified,"one canonical included paper; three disjoint scope groups; bounded corpus, not field-wide totals",2026-09-21
Lu2019CVPR,Lu2019CVPR,Disentangled deblurring,Unsupervised Domain-Specific Deblurring via Disentangled Representations,2019,CVPR,deblurring,six_task,Six-task restoration,representation,https://openaccess.thecvf.com/content_CVPR_2019/papers/Lu_Unsupervised_Domain-Specific_Deblurring_via_Disentangled_Representations_CVPR_2019_paper.pdf,https://github.com/ustclby/Unsupervised-Domain-Specific-Deblurring,official_public_repository,unpaired restoration; consult access note and paper for auxiliary supervision,Representative method; exact training pools and auxiliary pretraining require configuration-level disclosure.,final publication/issue year; first public preprint year if no final publication verified,"one canonical included paper; three disjoint scope groups; bounded corpus, not field-wide totals",2026-09-21
Zhu2019AAAI,Zhu2019AAAI,RR-GAN,Single Image Rain Removal with Unpaired Information: A Differentiable Programming Perspective,2019,AAAI,deraining,six_task,Six-task restoration,domain_translation,https://ojs.aaai.org/index.php/AAAI/article/view/4971,,not_verified,unpaired restoration; consult access note and paper for auxiliary supervision,Representative method; exact training pools and auxiliary pretraining require configuration-level disclosure.,final publication/issue year; first public preprint year if no final publication verified,"one canonical included paper; three disjoint scope groups; bounded corpus, not field-wide totals",2026-09-21
Jin2019ICIP,Jin2019ICIPNoDOI,UD-GAN,Unsupervised Single Image Deraining with Self-Supervised Constraints,2019,ICIP,deraining,six_task,Six-task restoration,domain_translation,https://orca.cardiff.ac.uk/id/eprint/161670/,,not_verified,unpaired restoration; consult access note and paper for auxiliary supervision,Representative method; exact training pools and auxiliary pretraining require configuration-level disclosure.,final publication/issue year; first public preprint year if no final publication verified,"one canonical included paper; three disjoint scope groups; bounded corpus, not field-wide totals",2026-09-21
v6_sr_uw_05,Fritsche2019FSSR,FSSR / DSGAN,Frequency Separation for Real-World Super-Resolution,2019,2019 IEEE/CVF International Conference on Computer Vision Workshop (ICCVW),super-resolution,broader_restoration,Underwater / SR / sand-dust,domain_translation,https://arxiv.org/abs/1911.07850,,not_verified,independent-domain restoration branch; see access_note for auxiliary information,Author abstract describes unsupervised domain degradation synthesis and subsequent SR training; real-image characteristics are introduced into downsampled HR images. No full-text dataset audit completed in this bounded pass. Bibliographic author/DOI fields checked against exact-title publisher metadata.,final publication/issue year; first public preprint year if no final publication verified,"one canonical included paper; three disjoint scope groups; bounded corpus, not field-wide totals",2026-09-21
Lu2019MCycleGAN,Lu2019MCycleGAN,MCycleGAN,Multi-scale adversarial network for underwater image restoration,2019,Optics and Laser Technology,underwater enhancement,broader_restoration,Underwater / SR / sand-dust,domain_translation,https://www.sciencedirect.com/science/article/pii/S003039921830690X,,not_verified,unpaired marginal datasets,"Publisher conclusion calls it an end-to-end unpaired adversarial system; datasets are separate turbid/clear image groups, with DCP-guided multiscale SSIM. Final issue February2019.",final publication/issue year; first public preprint year if no final publication verified,"one canonical included paper; three disjoint scope groups; bounded corpus, not field-wide totals",2026-09-21
yan2019scgan,Yan2019SCGAN,SCGAN,Unsupervised Image Noise Modeling with Self-Consistent GAN,2019,arXiv preprint,denoising;deraining;super-resolution,broader_restoration,Underwater / SR / sand-dust,domain_translation,https://arxiv.org/abs/1906.05762,,not_verified,independent-domain restoration branch; see access_note for auxiliary information,Independent noisy and clean images; learned residual noise synthesis; no matched clean/noisy training required.,final publication/issue year; first public preprint year if no final publication verified,"one canonical included paper; three disjoint scope groups; bounded corpus, not field-wide totals",2026-09-21
v6_sr_uw_04,Lugmayr2019USR,Unsupervised degradation learning (Lugmayr et al.),Unsupervised Learning for Real-World Super-Resolution,2019,2019 IEEE/CVF International Conference on Computer Vision Workshop (ICCVW),super-resolution,broader_restoration,Underwater / SR / sand-dust,domain_translation,https://arxiv.org/abs/1909.09629,,not_verified,independent-domain restoration branch; see access_note for auxiliary information,Author abstract explicitly says given only unpaired data; degradation translation creates realistic LR-HR pairs. Author comment states AIM 2019 at ICCV. Bibliographic author/DOI fields checked against exact-title publisher metadata.,final publication/issue year; first public preprint year if no final publication verified,"one canonical included paper; three disjoint scope groups; bounded corpus, not field-wide totals",2026-09-21
Park2020ECCV,Park2020ECCV,CUT,Contrastive Learning for Unpaired Image-to-Image Translation,2020,Proc. Eur. Conf. Comput. Vis.,general unpaired image translation,translation,General / weather translation,not_assigned,https://taesung.me/ContrastiveUnpairedTranslation/,,not_verified,unpaired-domain image translation; task-specific validation is not implied,Broader methodological domain/style translation category; does not assert that all six restoration tasks were evaluated.,final publication/issue year; first public preprint year if no final publication verified,"one canonical included paper; three disjoint scope groups; bounded corpus, not field-wide totals",2026-09-21
Zheng2020ForkGAN,Zheng2020ForkGAN,ForkGAN,ForkGAN: Seeing into the Rainy Night,2020,Proc. Eur. Conf. Comput. Vis.,adverse-weather translation;rainy-night-to-day translation,translation,General / weather translation,not_assigned,https://zhengziqiang.github.io/projects/ForkGAN/ForkGAN.html,,not_verified,unpaired two-domain training,Author project and accepted ECCV record confirm unsupervised adverse-weather domain translation; downstream labels do not supervise the translator.,final publication/issue year; first public preprint year if no final publication verified,"one canonical included paper; three disjoint scope groups; bounded corpus, not field-wide totals",2026-09-21
Kim2020ICLR,Kim2020ICLR,U-GAT-IT,{U-GAT-IT}: Unsupervised Generative Attentional Networks with Adaptive Layer-Instance Normalization for Image-to-Image Translation,2020,Proc. Int. Conf. Learn. Represent.,general unpaired image translation,translation,General / weather translation,not_assigned,https://openreview.net/forum?id=BJlZ5ySKPH,,not_verified,unpaired-domain image translation; task-specific validation is not implied,Broader methodological domain/style translation category; does not assert that all six restoration tasks were evaluated.,final publication/issue year; first public preprint year if no final publication verified,"one canonical included paper; three disjoint scope groups; bounded corpus, not field-wide totals",2026-09-21
liu2020cpdepth,Liu2020CyclicDepth,Cyclic perceptual-depth dehazing,Efficient Unpaired Image Dehazing with Cyclic Perceptual-Depth Supervision,2020,arXiv preprint,dehazing,six_task,Six-task restoration,prior_guided,https://arxiv.org/abs/2007.05220,,not_verified,independent-domain restoration branch; see access_note for auxiliary information,Independent hazy/clear domains; pretrained depth estimator supplies auxiliary structural supervision.,final publication/issue year; first public preprint year if no final publication verified,"one canonical included paper; three disjoint scope groups; bounded corpus, not field-wide totals",2026-09-21
anvari2020glc,Anvari2020GLCGAN,Dehaze-GLCGAN,Dehaze-GLCGAN: Unpaired Single Image De-hazing via Adversarial Training,2020,arXiv preprint,dehazing,six_task,Six-task restoration,domain_translation,https://arxiv.org/abs/2008.06632,,not_verified,independent-domain restoration branch; see access_note for auxiliary information,Independent hazy/clear domains and global/local cyclic adversarial learning.,final publication/issue year; first public preprint year if no final publication verified,"one canonical included paper; three disjoint scope groups; bounded corpus, not field-wide totals",2026-09-21
Liu2020TIP,Liu2020TIP,E-CycleGAN,End-to-End Single Image Fog Removal Using Enhanced Cycle Consistent Adversarial Networks,2020,IEEE TIP,dehazing,six_task,Six-task restoration,domain_translation,https://arxiv.org/abs/1902.01374,,not_verified,unpaired restoration; consult access note and paper for auxiliary supervision,Representative method; exact training pools and auxiliary pretraining require configuration-level disclosure.,final publication/issue year; first public preprint year if no final publication verified,"one canonical included paper; three disjoint scope groups; bounded corpus, not field-wide totals",2026-09-21
kattakinda2020unpaired,Covkattakinda2020unpaired,Flow-prior unpaired denoising,Unpaired Image Denoising,2020,ICIP,denoising,six_task,Six-task restoration,normalizing_flow,https://arxiv.org/abs/2009.11532,https://github.com/priyathamkat/unpaired-image-denoising,author_repository_verified,independent-domain restoration branch; see access_note for auxiliary information,A flow prior learns from clean images independent of the noisy training set; a denoising network subsequently uses that prior without paired clean targets. The author repository explicitly separates clean/noisy/test folders.,final publication/issue year; first public preprint year if no final publication verified,"one canonical included paper; three disjoint scope groups; bounded corpus, not field-wide totals",2026-09-21
Hong2020AAAI,Hong2020AAAI,UIDNet,End-to-End Unpaired Image Denoising with Conditional Adversarial Networks,2020,AAAI,denoising,six_task,Six-task restoration,domain_translation,https://ojs.aaai.org/index.php/AAAI/article/view/5834,,not_verified,unpaired restoration; consult access note and paper for auxiliary supervision,Clean/noisy domains and generated pairs; not noisy-only learning.,final publication/issue year; first public preprint year if no final publication verified,"one canonical included paper; three disjoint scope groups; bounded corpus, not field-wide totals",2026-09-21
Wu2020ECCV,Wu2020ECCV,Unpaired denoising (DBSN),Unpaired Learning of Deep Image Denoising,2020,ECCV,denoising,six_task,Six-task restoration,representation,https://www.ecva.net/papers/eccv_2020/papers_ECCV/papers/123490341.pdf,https://github.com/XHWXD/DBSN,paper_linked_repository,unpaired restoration; consult access note and paper for auxiliary supervision,Blind-spot/noise-model stage followed by independent-clean-image synthesis and distillation.,final publication/issue year; first public preprint year if no final publication verified,"one canonical included paper; three disjoint scope groups; bounded corpus, not field-wide totals",2026-09-21
Kim2020CycleSR,Kim2020CycleSR,CycleGAN + domain discriminator SR,Unsupervised Real-World Super Resolution With Cycle Generative Adversarial Network and Domain Discriminator,2020,Proc. IEEE/CVF Conf. Comput. Vis. Pattern Recognit. Workshops,super-resolution,broader_restoration,Underwater / SR / sand-dust,not_assigned,https://openaccess.thecvf.com/content_CVPRW_2020/html/w31/Kim_Unsupervised_Real-World_Super_Resolution_With_Cycle_Generative_Adversarial_Network_and_CVPRW_2020_paper.html,,not_verified,unpaired LR/HR domains with generated training pairs,Primary CVF abstract explicitly confirms unpaired dataset and unknown degradation. Page range omitted because CVF HTML short listing and archival full paper pagination differ.,final publication/issue year; first public preprint year if no final publication verified,"one canonical included paper; three disjoint scope groups; bounded corpus, not field-wide totals",2026-09-21
islam2020funie,Islam2020RA-L,FUnIE-GAN-UP,Fast Underwater Image Enhancement for Improved Visual Perception,2020,IEEE RA-L,underwater enhancement,broader_restoration,Underwater / SR / sand-dust,domain_translation,https://arxiv.org/abs/1903.09766,https://github.com/xahidbuffon/FUnIE-GAN,primary_source_linked_repository,independent-domain restoration branch; see access_note for auxiliary information,Only the paper's explicitly unpaired branch is counted; paired branch is not evidence of unpaired performance.,final publication/issue year; first public preprint year if no final publication verified,"one canonical included paper; three disjoint scope groups; bounded corpus, not field-wide totals",2026-09-21
Maeda2020CVPR,Maeda2020CVPR,Pseudo-supervised SR,Unpaired Image Super-Resolution Using Pseudo-Supervision,2020,CVPR,super-resolution,broader_restoration,Underwater / SR / sand-dust,domain_translation,https://openaccess.thecvf.com/content_CVPR_2020/html/Maeda_Unpaired_Image_Super-Resolution_Using_Pseudo-Supervision_CVPR_2020_paper.html,,not_verified,unpaired restoration; consult access note and paper for auxiliary supervision,Independent LR/HR collections; internally generated aligned supervision.,final publication/issue year; first public preprint year if no final publication verified,"one canonical included paper; three disjoint scope groups; bounded corpus, not field-wide totals",2026-09-21
v6_sr_uw_06,Ji2020RealSR,RealSR (Ji et al.),Real-World Super-Resolution via Kernel Estimation and Noise Injection,2020,2020 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW),super-resolution,broader_restoration,Underwater / SR / sand-dust,prior_guided,https://openaccess.thecvf.com/content_CVPRW_2020/papers/w31/Ji_Real-World_Super-Resolution_via_Kernel_Estimation_and_Noise_Injection_CVPRW_2020_paper.pdf,https://github.com/jixiaozhong/RealSR,author_link_verified_not_executed,independent-domain restoration branch; see access_note for auxiliary information,CVF primary PDF describes estimating blur kernels and real noise distributions to generate domain-matching LR images from HR images; subsequent SR training uses synthetic pairs. Code URL is printed on PDF first page. Bibliographic author/DOI fields checked against exact-title publisher metadata.,final publication/issue year; first public preprint year if no final publication verified,"one canonical included paper; three disjoint scope groups; bounded corpus, not field-wide totals",2026-09-21
Cho2020Underwater,Cho2020Underwater,Underwater image-to-image dehazing,Underwater Image Dehazing via Unpaired Image-to-image Translation,2020,"International Journal of Control, Automation and Systems",underwater enhancement,broader_restoration,Underwater / SR / sand-dust,domain_translation,https://snu.elsevierpure.com/en/publications/underwater-image-dehazing-via-unpaired-image-to-image-translation/,,not_verified,unpaired marginal datasets,"Author institutional record verifies final publication March2020 and explicitly states independent clean/degraded scenes collected from Flickr, with multiple cyclic consistency losses.",final publication/issue year; first public preprint year if no final publication verified,"one canonical included paper; three disjoint scope groups; bounded corpus, not field-wide totals",2026-09-21
Kwak2021AUGAN,Kwak2021AUGAN,AU-GAN,Adverse Weather Image Translation with Asymmetric and Uncertainty-aware GAN,2021,Proc. Brit. Mach. Vis. Conf.,adverse-weather translation;rainy-night-to-day translation,translation,General / weather translation,not_assigned,https://arxiv.org/abs/2112.04283,https://github.com/jgkwak95/AU-GAN,primary_source_linked_repository,unpaired two-domain training,Author abstract explicitly states rainy-night to day unpaired translation; author comments confirm BMVC 2021 (2022 revision is not another paper).,final publication/issue year; first public preprint year if no final publication verified,"one canonical included paper; three disjoint scope groups; bounded corpus, not field-wide totals",2026-09-21
Han2021DCLGAN,Han2021DCLGAN,DCLGAN,Dual Contrastive Learning for Unsupervised Image-to-Image Translation,2021,Proc. IEEE/CVF Conf. Comput. Vis. Pattern Recognit. Workshops,general unpaired image translation,translation,General / weather translation,not_assigned,https://openaccess.thecvf.com/content/CVPR2021W/NTIRE/html/Han_Dual_Contrastive_Learning_for_Unsupervised_Image-to-Image_Translation_CVPRW_2021_paper.html,,not_verified,unpaired two-domain training,Unpaired domains with dual contrastive encoders. DCLGAN is distinct from deraining DCD-GAN; avoid conflating names.,final publication/issue year; first public preprint year if no final publication verified,"one canonical included paper; three disjoint scope groups; bounded corpus, not field-wide totals",2026-09-21
Jang2021ICCV,Jang2021ICCV,C2N,C2N: Practical Generative Noise Modeling for Real-World Denoising,2021,ICCV,denoising,six_task,Six-task restoration,domain_translation,https://openaccess.thecvf.com/content/ICCV2021/papers/Jang_C2N_Practical_Generative_Noise_Modeling_for_Real-World_Denoising_ICCV_2021_paper.pdf,,not_verified,unpaired restoration; consult access note and paper for auxiliary supervision,DND protocol includes target noisy-image adaptation; retain this information budget.,final publication/issue year; first public preprint year if no final publication verified,"one canonical included paper; three disjoint scope groups; bounded corpus, not field-wide totals",2026-09-21
Henz2021TVCG,Henz2021TVCG,Camera-noise synthesis GAN,Synthesizing Camera Noise Using Generative Adversarial Networks,2021,IEEE Transactions on Visualization and Computer Graphics,denoising,six_task,Six-task restoration,domain_translation,https://bernardohenz.github.io/projects/synthesizing_noise/,https://github.com/bernardohenz/synt_noise_GANs,official_public_repository,unpaired restoration; consult access note and paper for auxiliary supervision,Unpaired camera-noise synthesis followed by DnCNN; camera-specific RENOIR evaluation.,final publication/issue year; first public preprint year if no final publication verified,"one canonical included paper; three disjoint scope groups; bounded corpus, not field-wide totals",2026-09-21
Wei2021TIP,Wei2021TIP,DerainCycleGAN,DerainCycleGAN: Rain Attentive CycleGAN for Single Image Deraining and Rainmaking,2021,IEEE TIP,deraining,six_task,Six-task restoration,domain_translation,https://github.com/OaDsis/DerainCycleGAN,https://github.com/OaDsis/DerainCycleGAN,official_public_repository,unpaired restoration; consult access note and paper for auxiliary supervision,Final journal year 2021; the 2019 preprint is not a second paper.,final publication/issue year; first public preprint year if no final publication verified,"one canonical included paper; three disjoint scope groups; bounded corpus, not field-wide totals",2026-09-21
Jiang2021TIP,Jiang2021TIP,EnlightenGAN,EnlightenGAN: Deep Light Enhancement without Paired Supervision,2021,IEEE TIP,low-light enhancement,six_task,Six-task restoration,domain_translation,https://github.com/VITA-Group/EnlightenGAN,https://github.com/VITA-Group/EnlightenGAN,official_public_repository,unpaired restoration; consult access note and paper for auxiliary supervision,Final journal year 2021; the 2019 preprint is not a second paper.,final publication/issue year; first public preprint year if no final publication verified,"one canonical included paper; three disjoint scope groups; bounded corpus, not field-wide totals",2026-09-21
li2021refinednet,Zhao2021TIP,RefineDNet,RefineDNet: A Weakly Supervised Refinement Framework for Single Image Dehazing,2021,IEEE TIP,dehazing,six_task,Six-task restoration,prior_guided,https://www.fst.um.edu.mo/personal/wp-content/uploads/2021/05/RefineDNet.pdf,,not_verified,independent-domain restoration branch; see access_note for auxiliary information,DCP initialization followed by adversarial refinement with independent hazy/clear images; weak supervision means prior-generated targets.,final publication/issue year; first public preprint year if no final publication verified,"one canonical included paper; three disjoint scope groups; bounded corpus, not field-wide totals",2026-09-21
Yu2021ACMMM,Yu2021ACMMM,UDGNet (full model),Unsupervised Image Deraining: Optimization Model Driven Deep CNN,2021,ACM Multimedia,deraining,six_task,Six-task restoration,prior_guided,https://arxiv.org/abs/2203.13699,,not_verified,independent rainy/clean domains in full model; separate single-image variant,Full model includes an adversarial clean-image prior; the single-image variant removes that adversarial term. The prior registry indexed only the single-image boundary variant. This corpus counts the full paper once.,final publication/issue year; first public preprint year if no final publication verified,"one canonical included paper; three disjoint scope groups; bounded corpus, not field-wide totals",2026-09-21
Wei2021CVPRDDAT,Wei2021CVPRDDAT,DASR (domain-distance aware),Unsupervised Real-World Image Super Resolution via Domain-Distance Aware Training,2021,CVPR,super-resolution,broader_restoration,Underwater / SR / sand-dust,domain_translation,https://openaccess.thecvf.com/content/CVPR2021/html/Wei_Unsupervised_Real-World_Image_Super_Resolution_via_Domain-Distance_Aware_Training_CVPR_2021_paper.html,https://github.com/ShuhangGu/DASR,paper_linked_repository,unpaired restoration; consult access note and paper for auxiliary supervision,Representative method; exact training pools and auxiliary pretraining require configuration-level disclosure.,final publication/issue year; first public preprint year if no final publication verified,"one canonical included paper; three disjoint scope groups; bounded corpus, not field-wide totals",2026-09-21
